Year,18-44 - Number in 1000s,18-44 - Lower Limit,18-44 - Upper Limit,45-64 - Number in 1000s,45-64 - Lower Limit,45-64 - Upper Limit,65-74 - Number in 1000s,65-74 - Lower Limit,65-74 - Upper Limit,75+ - Number in 1000s,75+ - Lower Limit,75+ - Upper Limit
2000,2059,1781,2336,5040,4628,5453,2810,2522,3098,1954,1721,2186
2001,2167,1915,2420,5834,5352,6317,2954,2688,3220,2051,1831,2270
2002,2080,1808,2352,6030,5587,6473,3029,2717,3341,2252,1980,2524
2003,2101,1817,2385,6239,5757,6721,3180,2849,3512,2491,2198,2784
2004,2173,1907,2439,6963,6457,7469,3393,3065,3721,2598,2321,2876
2005,2640,2292,2988,7595,7081,8110,3421,3076,3766,2529,2255,2804
2006,2924,2511,3336,7752,7049,8455,3469,3081,3857,2965,2595,3335
2007,2432,2030,2835,8093,7403,8783,3840,3429,4251,2908,2539,3277
2008,2553,2120,2986,9223,8416,10030,3940,3509,4371,2935,2574,3296
2009,3234,2786,3682,9886,9065,10706,4107,3681,4534,3263,2890,3637
2010,3022,2638,3406,9676,9019,10333,4563,4106,5021,3713,3330,4096
2011,2708,2382,3034,9702,9047,10356,4860,4494,5225,3319,2992,3646
2012,2673,2327,3020,10273,9618,10929,4863,4436,5291,3509,3171,3847
2013,2964,2603,3325,10116,9435,10797,5273,4851,5695,3820,3468,4171
2014,2710,2353,3067,9945,9260,10629,5654,5191,6117,3563,3185,3941
2015,2469,2131,2807,10603,9790,11417,6016,5498,6533,4073,3687,4459
2016,3142,2636,3647,10082,9271,10893,6272,5702,6841,3608,3247,3969
2017,3014,2576,3453,10598,9704,11492,5619,5134,6105,3817,3391,4242
2018,3777,3264,4291,10320,9505,11134,6580,6074,7086,4481,4019,4943
2019,2787,2409,3165,10011,9272,10749,6044,5564,6525,4578,4164,4991
