Year,Hispanic - Number in 1000s,Hispanic - Lower Limit,Hispanic - Upper Limit,Non-Hispanic White - Number in 1000s,Non-Hispanic White - Lower Limit,Non-Hispanic White - Upper Limit,Non-Hispanic Black - Number in 1000s,Non-Hispanic Black - Lower Limit,Non-Hispanic Black - Upper Limit,Non-Hispanic Asian - Number in 1000s,Non-Hispanic Asian - Lower Limit,Non-Hispanic Asian - Upper Limit
2000,1344,1166,1523,8055,7523,8588,1947,1714,2179,252,138,365
2001,1502,1317,1686,8819,8232,9406,2058,1821,2296,267,169,365
2002,1542,1330,1754,9153,8550,9756,2029,1775,2283,363,237,489
2003,1556,1345,1767,9729,9078,10379,2089,1829,2349,336,228,445
2004,1879,1650,2108,10014,9410,10618,2353,2076,2630,514,374,654
2005,1898,1647,2149,11059,10411,11707,2484,2203,2765,427,289,564
2006,2147,1845,2448,11178,10271,12086,2736,2395,3076,665,474,857
2007,2316,1984,2648,10765,9842,11689,2822,2493,3151,798,580,1016
2008,2524,2150,2899,12193,11250,13136,2687,2346,3029,738,553,922
2009,2879,2543,3214,13198,12244,14151,3191,2838,3544,758,531,986
2010,3178,2845,3511,13269,12395,14143,3144,2811,3476,871,700,1042
2011,3051,2738,3365,13023,12262,13785,3147,2840,3454,877,707,1047
2012,3166,2780,3552,13227,12445,14009,3382,3048,3717,969,785,1153
2013,3409,3036,3782,13972,13176,14769,3246,2889,3603,953,747,1159
2014,3459,3070,3849,13393,12619,14166,3575,3202,3949,937,738,1137
2015,3616,3216,4016,14174,13336,15012,3586,3168,4003,1121,900,1342
2016,3746,3093,4400,14036,13078,14994,3659,3163,4155,1051,751,1350
2017,4087,3412,4762,13766,12854,14678,3233,2793,3672,1217,917,1517
2018,4303,3628,4977,14759,13856,15661,3603,3092,4113,1475,1151,1799
2019,4005,3395,4616,13758,12910,14606,3565,3087,4043,1347,1062,1631
