Year,Total - Number in 1000s,Total - Lower Limit,Total - Upper Limit
2000,11863,11225,12501
2001,13006,12342,13670
2002,13391,12673,14108
2003,14012,13265,14758
2004,15126,14369,15884
2005,16186,15406,16966
2006,17110,16059,18160
2007,17273,16167,18380
2008,18651,17488,19814
2009,20490,19329,21652
2010,20974,19940,22009
2011,20589,19682,21496
2012,21319,20397,22241
2013,22173,21252,23093
2014,21872,20887,22857
2015,23161,22080,24241
2016,23104,21709,24498
2017,23048,21712,24385
2018,25158,23941,26374
2019,23419,22247,24592
